Company,Price,MCap,PE,Metric,YOY,QoQ,Sep 2025,Jun 2025,Sep 2024
Amara Raja Ener.,979,17918.0,22.2,Sales,8.0,1.13,3388.0,3350.0,3136.0
Amara Raja Ener.,979,17918.0,22.2,EBIDT,-8.0,4.91,406.0,387.0,441.0
Amara Raja Ener.,979,17918.0,22.2,Net profit,-12.0,55.67,302.0,194.0,241.0
Amara Raja Ener.,979,17918.0,22.2,EPS,26.0,55.85,16.52,10.6,13.15
Alivus Life,908,11145.0,21.1,Sales,16.0,-2.33,588.0,602.0,507.0
Alivus Life,908,11145.0,21.1,EBIDT,33.0,4.07,179.0,172.0,134.0
Alivus Life,908,11145.0,21.1,Net profit,36.0,6.56,130.0,122.0,95.3
Alivus Life,908,11145.0,21.1,EPS,36.0,6.96,10.6,9.91,7.78
Dam Capital Advi,264,1864.0,16.6,Sales,69.0,247.4,107.0,30.8,63.3
Dam Capital Advi,264,1864.0,16.6,EBIDT,124.0,1177.78,75.9,5.94,33.9
Dam Capital Advi,264,1864.0,16.6,Net profit,140.0,32462.5,52.1,0.16,21.7
Dam Capital Advi,264,1864.0,16.6,EPS,140.0,36750.0,7.37,0.02,3.07
Akzo Nobel,"3,246",14783.0,37.7,Sales,-15.0,-16.08,835.0,995.0,982.0
Akzo Nobel,"3,246",14783.0,37.7,EBIDT,-24.0,-17.16,111.0,134.0,146.0
Akzo Nobel,"3,246",14783.0,37.7,Net profit,-15.0,1749.45,1683.0,91.0,97.9
Akzo Nobel,"3,246",14783.0,37.7,EPS,1619.0,1749.45,369.52,19.98,21.5
Cummins India,"4,294",119031.0,51.7,Sales,26.0,9.05,3170.0,2907.0,2509.0
Cummins India,"4,294",119031.0,51.7,EBIDT,44.0,11.38,695.0,624.0,484.0
Cummins India,"4,294",119031.0,51.7,Net profit,38.0,2.98,622.0,604.0,449.0
Cummins India,"4,294",119031.0,51.7,EPS,38.0,3.03,22.45,21.79,16.21
Lupin,"1,971",90021.0,20.8,Sales,24.0,12.44,7048.0,6268.0,5673.0
Lupin,"1,971",90021.0,20.8,EBIDT,75.0,35.55,2341.0,1727.0,1340.0
Lupin,"1,971",90021.0,20.8,Net profit,73.0,21.62,1485.0,1221.0,859.0
Lupin,"1,971",90021.0,20.8,EPS,73.0,21.24,32.36,26.69,18.69
Ceinsys Tech,"1,319",2353.0,24.2,Sales,82.0,3.82,163.0,157.0,90.0
Ceinsys Tech,"1,319",2353.0,24.2,EBIDT,113.0,17.49,35.6,30.3,16.8
Ceinsys Tech,"1,319",2353.0,24.2,Net profit,121.0,-18.67,25.7,31.6,11.6
Ceinsys Tech,"1,319",2353.0,24.2,EPS,116.0,-20.45,14.43,18.14,6.68
GP Eco Solutions,517,611.0,54.0,Sales,29.0,,102.0,,79.2
GP Eco Solutions,517,611.0,54.0,EBIDT,41.0,,9.97,,7.06
GP Eco Solutions,517,611.0,54.0,Net profit,26.0,,6.01,,4.78
GP Eco Solutions,517,611.0,54.0,EPS,25.0,,5.08,,4.08
Linde India,"5,845",49846.0,98.5,Sales,2.0,12.78,644.0,571.0,634.0
Linde India,"5,845",49846.0,98.5,EBIDT,58.0,43.15,282.0,197.0,179.0
Linde India,"5,845",49846.0,98.5,Net profit,62.0,60.95,169.0,105.0,104.0
Linde India,"5,845",49846.0,98.5,EPS,62.0,60.88,19.82,12.32,12.24
Gulshan Polyols,154,961.0,22.5,Sales,23.0,-8.6,542.0,593.0,440.0
Gulshan Polyols,154,961.0,22.5,EBIDT,157.0,14.48,41.9,36.6,16.3
Gulshan Polyols,154,961.0,22.5,Net profit,1116.0,17.42,15.5,13.2,1.29
Gulshan Polyols,154,961.0,22.5,EPS,1086.0,18.01,2.49,2.11,0.21
Aarti Industries,393,14261.0,53,Sales,29.0,25.37,2100.0,1675.0,1628.0
Aarti Industries,393,14261.0,53,EBIDT,48.0,37.26,291.0,212.0,197.0
Aarti Industries,393,14261.0,53,Net profit,68.0,146.51,106.0,43.0,52.0
Aarti Industries,393,14261.0,53,EPS,104.0,145.38,2.92,1.19,1.43
